PO_ID,Supplier,Material,Category,Quantity,Unit_Price_USD,Total_Spend_USD,Purchase_Date,Lead_Time_Days,Delivery_Date,On_Time,Facility,Country
PO-11094,Apex Pharma Materials,Packaging Film,Packaging,1069,17.61,18825.09,2024-01-05,10,2024-01-17,Yes,"Facility B - Indianapolis, IN",Switzerland
PO-11025,NovaChem Ltd,Cold Chain Packaging,Packaging,555,16.4,9102.0,2024-01-06,20,2024-01-27,Yes,"Facility D - Cork, Ireland",China
PO-10097,Apex Pharma Materials,Lab Reagents,Lab Supplies,1397,129.44,180827.68,2024-01-07,24,2024-02-02,Yes,Facility C - Puerto Rico,Switzerland
PO-10347,GlobalMed Ingredients,Stainless Steel Components,Manufacturing Consumables,546,342.32,186906.72,2024-01-07,40,2024-02-18,Yes,"Facility A - New Brunswick, NJ",Ireland
PO-10486,ChemPro Solutions,Packaging Film,Packaging,459,11.29,5182.11,2024-01-07,11,2024-01-17,Yes,Facility E - Singapore,India
PO-11156,Meridian Chem Group,Stainless Steel Components,Manufacturing Consumables,280,203.83,57072.4,2024-01-08,38,2024-02-21,No,"Facility A - New Brunswick, NJ",China
PO-10982,PurePharm Supply Co,Blister Packs,Packaging,580,9.38,5440.4,2024-01-08,15,2024-01-22,Yes,Facility E - Singapore,USA
PO-10166,PurePharm Supply Co,Sterile Syringes,Medical Devices,1605,3.53,5665.65,2024-01-10,31,2024-02-08,Yes,Facility E - Singapore,USA
PO-10191,PharmaCorp Global,Stainless Steel Components,Manufacturing Consumables,2895,291.82,844818.9,2024-01-10,25,2024-02-14,No,Facility E - Singapore,USA
PO-10344,Meridian Chem Group,Sterile Syringes,Medical Devices,2854,2.14,6107.56,2024-01-11,29,2024-02-09,Yes,"Facility D - Cork, Ireland",China
PO-10543,BioSupply Partners,Glass Vials,Packaging,780,5.56,4336.8,2024-01-11,16,2024-02-14,No,Facility E - Singapore,Germany
PO-10667,BioSupply Partners,Sterile Syringes,Medical Devices,1114,2.89,3219.46,2024-01-11,12,2024-01-21,Yes,"Facility D - Cork, Ireland",Germany
PO-11001,NovaChem Ltd,Blister Packs,Packaging,5344,6.81,36392.64,2024-01-12,9,2024-01-20,Yes,"Facility A - New Brunswick, NJ",China
PO-10695,Vertex Bio Supply,Stainless Steel Components,Manufacturing Consumables,1002,276.19,276742.38,2024-01-12,55,2024-03-09,Yes,Facility C - Puerto Rico,India
PO-10847,MedSource Industries,Stainless Steel Components,Manufacturing Consumables,869,280.46,243719.74,2024-01-12,34,2024-03-03,No,Facility C - Puerto Rico,USA
PO-10945,Vertex Bio Supply,Stainless Steel Components,Manufacturing Consumables,3255,249.94,813554.7,2024-01-12,26,2024-02-26,No,Facility C - Puerto Rico,India
PO-10272,GlobalMed Ingredients,Excipients,Raw Materials,2136,71.14,151955.04,2024-01-13,24,2024-02-07,Yes,"Facility B - Indianapolis, IN",Ireland
PO-11186,Apex Pharma Materials,Lab Reagents,Lab Supplies,4758,139.36,663074.88,2024-01-13,18,2024-01-31,Yes,Facility E - Singapore,Switzerland
PO-10467,MedSource Industries,Cold Chain Packaging,Packaging,2639,22.77,60090.03,2024-01-14,15,2024-01-30,Yes,"Facility A - New Brunswick, NJ",USA
PO-11054,PharmaCorp Global,Sterile Syringes,Medical Devices,1939,3.53,6844.67,2024-01-14,13,2024-01-28,Yes,"Facility B - Indianapolis, IN",USA
PO-10294,PharmaCorp Global,Excipients,Raw Materials,495,84.75,41951.25,2024-01-15,19,2024-02-02,Yes,Facility E - Singapore,USA
PO-11046,Meridian Chem Group,Excipients,Raw Materials,1073,70.78,75946.94,2024-01-15,11,2024-02-05,No,"Facility A - New Brunswick, NJ",China
PO-10905,GlobalMed Ingredients,Filtration Media,Manufacturing Consumables,1653,72.22,119379.66,2024-01-15,30,2024-02-15,Yes,Facility E - Singapore,Ireland
PO-10479,Meridian Chem Group,Cold Chain Packaging,Packaging,736,18.77,13814.72,2024-01-15,10,2024-01-23,Yes,Facility E - Singapore,China
PO-10007,Apex Pharma Materials,Stainless Steel Components,Manufacturing Consumables,370,307.84,113900.8,2024-01-15,27,2024-02-09,Yes,"Facility A - New Brunswick, NJ",Switzerland
PO-10934,Meridian Chem Group,Cold Chain Packaging,Packaging,1554,16.23,25221.42,2024-01-16,13,2024-01-30,Yes,"Facility B - Indianapolis, IN",China
PO-10687,MedSource Industries,Filtration Media,Manufacturing Consumables,2212,63.16,139709.92,2024-01-16,28,2024-02-14,Yes,Facility C - Puerto Rico,USA
PO-10285,Apex Pharma Materials,Sterile Syringes,Medical Devices,1110,3.35,3718.5,2024-01-17,15,2024-02-14,No,"Facility A - New Brunswick, NJ",Switzerland
PO-10193,GlobalMed Ingredients,Blister Packs,Packaging,2331,7.19,16759.89,2024-01-17,15,2024-02-11,No,"Facility B - Indianapolis, IN",Ireland
PO-11143,BioSupply Partners,Lab Reagents,Lab Supplies,2484,127.93,317778.12,2024-01-17,23,2024-02-08,Yes,Facility E - Singapore,Germany
PO-10773,BioSupply Partners,Blister Packs,Packaging,1363,8.56,11667.28,2024-01-17,8,2024-01-25,Yes,"Facility A - New Brunswick, NJ",Germany
PO-11145,BioSupply Partners,Lab Reagents,Lab Supplies,1088,117.52,127861.76,2024-01-18,17,2024-02-04,Yes,"Facility D - Cork, Ireland",Germany
PO-10618,NovaChem Ltd,Active Pharmaceutical Ingredient (API),Raw Materials,383,292.23,111924.09,2024-01-18,50,2024-03-06,Yes,"Facility B - Indianapolis, IN",China
PO-10719,Meridian Chem Group,Stainless Steel Components,Manufacturing Consumables,417,202.56,84467.52,2024-01-20,25,2024-02-18,No,Facility E - Singapore,China
PO-10532,Meridian Chem Group,Lab Reagents,Lab Supplies,2272,81.52,185213.44,2024-01-20,20,2024-02-18,No,"Facility A - New Brunswick, NJ",China
PO-10190,ChemPro Solutions,Excipients,Raw Materials,88,63.22,5563.36,2024-01-21,17,2024-02-26,No,"Facility A - New Brunswick, NJ",India
